0	The literature views many African cities as dysfunctional with a hodgepodge of land uses and poor "connectivity." One driver of inefficient land uses is construction decisions for highly durable buildings made under weak institutions. In a novel approach, we model the dynamics of urban land use with both formal and slum dwellings and ongoing urban redevelopment to higher building heights in the formal sector as a city grows. We analyze the evolution of Nairobi using a unique high-spatial resolution data set. The analysis suggests insufficient building volume through most of the city and large slum areas with low housing volumes near the center, where corrupted institutions deter conversion to formal sector usage.
1	We model the building of a city, estimate parameters of the model, and calculate welfare losses from institutional frictions encountered in changing land-use. We distinguish formal and slum construction technologies; in contrast to slums, formal structures can be built tall, are durable, and non-malleable. As the city grows areas are initially developed informally, then formally, and then redeveloped periodically. Slums are modelled as a technology choice; however, institutional frictions in land markets may hinder their conversion to formal usage that requires secure property rights. Using unique data on Nairobi for 2003 and 2015, we develop a novel set of facts that support assumptions of the model, estimate all parameters of the model, and calculate welfare losses of conversion frictions. We track the dynamic evolution of the city and compare it with model predictions. In the core city formal sector, about a third of buildings were torn down over 12 years and replaced by buildings on average three times higher. For slums in older areas near the centre, even after buying out slumlords, overcoming institutional frictions would yield gains amounting to about 18,000 per slum household, thirty times typical annual slum rent payments.
2	Theoretical treatments of new industry formation within the inner city emphasise the significance of agglomeration economies, social relations, institutional factors, and representational (semiotic) features of the landscape. The author contributes to a larger understanding of generative processes of industrial innovation in the urban core by demonstrating through theoretical synthesis and case studies, the critical roles played by 'material' (or physical) space and form. First, Soja's idea of the 'industry-shaping power of spatiality' in the new economic spaces of the post-Fordist metropolis is interpreted as the boundedness of inner-city space, the intimacy of urban landscapes, and the integrity of urban form. Second, the cogency of Helbrecht's injunction regarding the complementarity of abstractive and 'concrete' dimensions of urban space in knowledge-based industry clusters is demonstrated by case-study references situated in London, Vancouver, and Singapore. Third, the author draws on Markus's incisive analysis of principal building types (and 'durable taxonomies' of building function and social meaning) to link historic and contemporary industrialisation processes, including the comingling of production, housing, and consumption. The nexus of theoretical integration lies in the articulation of three-dimensional industrial landscapes comprised of physical space and form as well as symbolic constructs.
3	We develop a model to study the impact of changes in price sensitivity on the firm as it introduces multiple generations of a durable product where unit costs are a convex function of quality. We incorporate the psychological processes of sensitization and habituation into a model of discretionary purchasing of replacement products motivated by past experience. When price sensitivity decreases with each purchase (sensitization), the myopic firm offers a higher quality product at a much higher price with each generation. When price sensitivity increases with each purchase (habituation), the myopic firm engages in price skimming. When sensitization is followed by habituation, the myopic firm eventually provides higher quality than the market is willing to pay for, leading to a steep drop-off in sales and profits. The actions of the forward-looking firm depend on the discount rate. A firm with a low discount rate builds its customer base before offering a higher quality and higher priced product. In contrast, a firm with a high discount rate quickly increases price and quality following the same path to falling profits of the myopic firm. These results provide insight into the firm and consumer behaviors underlying the phenomenon of "performance oversupply" identified in the innovation literature. (C) 2011 Elsevier B.V. All rights reserved.
4	The sustainable city of the future is typically envisioned as smart, creative and disruptive, assuming that urban and local sustainability is achieved through new technology and innovation. However, considering that the built environments of our cities and surroundings are highly durable, there is also a need to focus on how resources brought from the past - histories, artefacts and places - may be used for promoting urban sustainability. We label this a "deep city" perspective on urban and local transformation. By looking at Roros, a World Heritage Site in central Norway with a dense and historic wooden urban centre, we investigate how its heritage protection facilitates the maintenance of a compact urban centre. We hold that a shared sense of place - the deepness- may serve as a resource against unsustainable sprawl and mall-oriented development.
5	Architecture has always provided an opportunity for change. It is difficult to establish how and when it adheres to the logic of trend or else makes up an element of change interpreted as a strategic phenomenon. The phases which have characterized the present lay-out of cities and the morphology of their constitutive elements are recognizable moments of the architectural, technological and cultural approach to building. They provide in fact the comprehensive picture of the cultural attitude of the figures involved in the processes of modification of reality, the context on which we are called to act being difficult to interpret and subject to constant and rapid change. The contemporary city appears to be fragmented into systems, fabrics and nodes, and several partial cities can be identified within. In the network society, there is the emergence of original forms and relationships of space which make it necessary to reformulate the planning, building and management of the land and its architectural expressions. The traditional city model divided into parts and functions is today replaced by the "multiple city", a not only multifunctional but also complex node where local and global networks intertwine. There are, in fact, some places in the city which can provide variable and dynamic responses to the ever changing demands and expectations of users, which are precisely interpreted as city users. In this arena, the relationship between architecture, town planning, design, new technologies and materials borrowed for architectural purposes, takes shape as one of the great issues of our contemporary era. We are witnessing the coexistence of opposed, even extreme, design approaches. On the one hand, they are aimed at reaffirming the historical and traditional building paradigms by re-proposing opaque, heavy, ancient, preexisting and eternal features which the establishment architecture has always promoted. On the other hand, they tend to interpret the increasingly intangible connotations of development that our society is adopting as elements of daily life, by absorbing the principles of transparency, innovation, lightness, modernity, speed, security, temporariness as instruments conveying an increasingly ethereal and dynamic thought. Ephemeral, changeable and recyclable materials are the best interpreters of the present reversal in trend. In the past, it was the great services which were the well-established symbols implemented through materials and technologies aimed to last, whereas ordinary and residential building was expressed with sobriety and technological simplicity, i.e. qualities achieved through non durable building systems, but aimed to focus their existence on their social and functional role. Today the opposite phenomenon is true: residential housing is now the very icon of eternity and the "contemporary monument" is designed to represent a moment, an historical fragment of short duration. Hence, observations relating to some new "moments" of contemporary building have emerged and raised real issues with which the present architectural culture should be put to the test. To formulate observations, we shall proceed by the opposition of dualities. Supporting one or the other position does not only involve making a simple nominal choice but, first, it moves the conditioning created by the individual practice and, then translates into the definition of a representative style of its time. The universe of concepts, included within the five theme families proposed, represents the theoretical and constituent themes characterizing a particular time, taste and method. That which is proposed below is not a dichotomic vision of the process, which defines architecture according to its general constitutive elements, but rather an analysis of the state of the art of the architectural subject and practice, developed through the differential analysis of items which are opposed in terms of methods and products.
6	Managing landfill waste is essential to sustainable resource utilization. With a focus on the luxury fashion industry, this paper highlights the role that sustainable and social innovations can play in reducing environmental waste and improving social outcomes. Elvis & Kresse is a purpose-driven case study, because it was founded to eradicate a problem that had thus far received little attention, namely the problem of disposing of end-of-life fire-hoses. From a business model and circular economy perspective, this article explains how the company's rescue-transform-donate model has helped to build a sustainable and socially oriented yet profitable luxury brand. The analysis of the case suggests that for scholars, the typical business model canvas merits some revision beyond the current business focus on the financial bottom line to account for the social and ethical dimensions. For practitioners, this case demonstrates how the circular economy can be compatible with luxury fashion by turning waste into durable, fashionable products.
7	Since the second half of the nineteenth century, scientists and literary figures alike have focused on the decay of Venice, the former surveying the damage, the latter describing its charm, both recommending proper preservation. Over time, the growth of mass tourism and the city's economic development has brought about social, urban and architectural transformations, causing a marked decline in both the local population and in craftsmanship. Loss of knowledge of traditional building skills subsequently led to irreversible low-quality interventions in which historical surfaces have been progressively replaced by non-durable plasters. The main reason for this project is to create synergy between the University IUAV in Venice (Istituto Universitario di Architettura di Venezia) and Venice's local craftsmen through which traditional 'construction wisdom' can once again come to the fore. The project seeks to enhance the expertise of artisans and the use of historical materials to care for the city, respecting its 'material culture' while simultaneously addressing sustainable innovation. It is focused on the preservation of Venice through thorough and continuous maintenance that can control - and possibly lessen - improper architectural changes and develop a broader sensibility towards the authenticity of materials, both in monuments and simple artifacts. It improves education by enabling older custodians of traditional knowledge to transfer it to the younger generation which will have the duty of preserving Venice's future.
8	The city of Johannesburg offers insights into urban governance and the interesting interplay between managing the pressures in a rapidly urbanizing context, with the political imperatives that are enduring challenges. The metropolitan municipality of Johannesburg (hereafter Johannesburg), as it is known today, represents one of the most diverse cities in the African continent. That urbanization, however, came up hard against the power of the past. Areas zoned by race had been carved into the landscape, with natural and manufactured boundaries to keep formerly white areas 'safe' from those zoned for other races. Highways, light industrial plant, rivers and streams, all combined to ensure the Johannesburg landscape are spatially disfigured, and precisely because it is built into the landscape, the impact of apartheid has proved remarkably durable. Urban growth is concentrated in Johannesburg's townships and much of it is class driven: the middle class (of all races) is increasingly being found in cluster and complexes in the north Johannesburg, while poor and working-class African and coloured communities in particular are densifying in the south. The racial and spatial divisions of the city continue to pose fundamental challenges in terms of governance, fiscal management and spatially driven service delivery.
9	This article reports on a research project, Leeds City Lab, that brought together partner organizations to explore the meanings and practices of co-production in the context of urban change. Our intention is to offer a response to the crisis in urban governance by combining the growing academic and practitioner debates on co-production and urban laboratories in order to explore radically different institutional personae that can respond to deficits in contemporary urban governance, especially relating to participation and disenfranchisement, and ultimately unlock improved ways of designing, managing and living in cities. Our analysis has identified four key ways in which co-production labs can recast urban governance to more progressive ends: by moving beyond traditional organizational identities and working practices, embracing grey spaces of new civic interfaces, foregrounding emotions and power and committing to durable solutions. Ultimately, what we point towards is that urban governance can be more effectively enacted in co-production labs that bring together universities and the public, private and civil society sectors on a basis of equality, trust and openness. These spaces have the potential to unlock a city's knowledge, resources and assets, to unpack complex challenges and to build capacity to deliver improved city-wide solutions.
