item,count,f
"Blanchet P",2,3.57
"Chu PK",2,3.57
"Gao B",2,3.57
"Henderson JV",2,3.57
"Huo KF",2,3.57
"Regan T",2,3.57
"Venables AJ",2,3.57
"Wang L",2,3.57
"Zhang K",2,3.57
"Zhang Y",2,3.57
"Abada A",1,1.79
"Abbrescia M",1,1.79
"Abdussalam SS",1,1.79
"Abdyukhanov I",1,1.79
"Abe R",1,1.79
"Abrahams C",1,1.79
"Abramov A",1,1.79
"Aburaia M",1,1.79
"Acar AO",1,1.79
"Adzic PR",1,1.79
"Agaliotis EL",1,1.79
"Agrawal P",1,1.79
"Aguilar-Saavedra JA",1,1.79
"Aguilera-Verdugo JJ",1,1.79
"Ahmad M",1,1.79
"Aiba M",1,1.79
"Aichinger I",1,1.79
"Aielli G",1,1.79
"Akay A",1,1.79
"Akhundov A",1,1.79
"Aksakal H",1,1.79
"Al Zoubi W",1,1.79
"Al-Khattat I",1,1.79
"Alaniz EC",1,1.79
"Albacete JL",1,1.79
"Albergo S",1,1.79
"Alekou A",1,1.79
"Aleksa M",1,1.79
"Aleksan R",1,1.79
"Alexahin Y",1,1.79
"Alioli S",1,1.79
"Allanach BC",1,1.79
"Allard F",1,1.79
"Allport PP",1,1.79
"Altinli M",1,1.79
"Altmannshofer W",1,1.79
"Alía RG",1,1.79
"Ambrosio G",1,1.79
"Ammer C",1,1.79
"Ammer S",1,1.79
"Amor B",1,1.79
"Amorim D",1,1.79
"Amstutz O",1,1.79
"Anderlini L",1,1.79
"Andreazza A",1,1.79
"Andreini M",1,1.79
"Andriatis A",1,1.79
"Andrieu T",1,1.79
"Andris C",1,1.79
"Andronic A",1,1.79
"Angelucci M",1,1.79
"Ansari MZ",1,1.79
"Ansell MP",1,1.79
"Antinori F",1,1.79
"Antipov SA",1,1.79
"Antonelli M",1,1.79
"Antonello M",1,1.79
"Antonioli P",1,1.79
"Antusch S",1,1.79
"Anulli F",1,1.79
"Apolinário L",1,1.79
"Apollinari G",1,1.79
"Apollonio A",1,1.79
"Appelö D",1,1.79
"Appleby RB",1,1.79
"Apyan A",1,1.79
"Arai M",1,1.79
"Arbey A",1,1.79
"Arbuzov A",1,1.79
"Arcila ME",1,1.79
"Ardern-Jones M",1,1.79
"Arduini G",1,1.79
"Ari V",1,1.79
"Arias S",1,1.79
"Armesto N",1,1.79
"Arnaldi R",1,1.79
"Arsenyev SA",1,1.79
"Arzeo M",1,1.79
"Asai S",1,1.79
"Aslanides E",1,1.79
"Assmann RW",1,1.79
"Astapovych D",1,1.79
"Atanasov M",1,1.79
"Atieh S",1,1.79
"Attié D",1,1.79
"Auchmann B",1,1.79
"Audurier A",1,1.79
"Aull S",1,1.79
"Aumon S",1,1.79
"Aune S",1,1.79
"Avino F",1,1.79
"Avrillaud G",1,1.79
"Aydin G",1,1.79
"Ayuke FO",1,1.79
"Azatov A",1,1.79
"Azuelos G",1,1.79
"Azzi P",1,1.79
"Azzolini O",1,1.79
"Azzurri P",1,1.79
"Bacchetta N",1,1.79
"Bacchiocchi E",1,1.79
"Bach EM",1,1.79
"Bachacou H",1,1.79
"Baek YW",1,1.79
"Baglin V",1,1.79
"Bai H",1,1.79
"Bai Y",1,1.79
"Baird S",1,1.79
"Bajwa-Joseph M",1,1.79
"Baker GH",1,1.79
"Baker MJ",1,1.79
"Baldino L",1,1.79
"Baldwin MJ",1,1.79
"Ball AH",1,1.79
"Ballarino A",1,1.79
"Banerjee S",1,1.79
"Barber DP",1,1.79
"Barber PR",1,1.79
"Barducci D",1,1.79
"Baretta D",1,1.79
"Barjhoux P",1,1.79
"Barkusky D",1,1.79
"Barna D",1,1.79
"Barnaföldi GG",1,1.79
"Barnes MJ",1,1.79
"Barr A",1,1.79
"Bartlett AW",1,1.79
"Bartmann W",1,1.79
"Bartz MLC",1,1.79
"Baryshevsky V",1,1.79
"Barzi E",1,1.79
"Bass SA",1,1.79
"Bastianin A",1,1.79
"Bataille C",1,1.79
"Batool I",1,1.79
"Battezzati F",1,1.79
"Baudouy B",1,1.79
"Bauer F",1,1.79
"Bauer M",1,1.79
"Baumgartner T",1,1.79
"Bautista-Guzmán I",1,1.79
"Bayindir C",1,1.79
"Beachkofsky T",1,1.79
"Beaudette F",1,1.79
"Beauséjour R",1,1.79
"Bedano JC",1,1.79
"Bedeschi F",1,1.79
"Behr JK",1,1.79
"Bellafont I",1,1.79
"Bellagamba L",1,1.79
"Bellegarde N",1,1.79
"Belli E",1,1.79
"Bellingeri E",1,1.79
"Bellini F",1,1.79
"Bellomo G",1,1.79
"Belomestnykh S",1,1.79
"Ben Charif A",1,1.79
"Ben Hassine A",1,1.79
"Bencivenni G",1,1.79
"Benedikt M",1,1.79
"Bennett JM",1,1.79
"Berger MF",1,1.79
"Bermudez SI",1,1.79
"Bernardi G",1,1.79
"Bernardi J",1,1.79
"Bernet C",1,1.79
"Bernhardt JM",1,1.79
"Bernini C",1,1.79
"Berriaud C",1,1.79
"Bertarelli A",1,1.79
"Bertoldi P",1,1.79
"Bertolucci S",1,1.79
"Besana MI",1,1.79
"Besançon M",1,1.79
"Beugnon R",1,1.79
"Beznosov O",1,1.79
"Bhalkikar A",1,1.79
"Bhat C",1,1.79
"Bhat P",1,1.79
"Bhatti YA",1,1.79
"Biagini ME",1,1.79
"Bian A",1,1.79
"Biarrotte JL",1,1.79
"Bielert ER",1,1.79
"Biglietti M",1,1.79
"Bilei GM",1,1.79
"Bilki B",1,1.79
"Birkhofer K",1,1.79
"Biscari C",1,1.79
"Bishara F",1,1.79
"Blanchart E",1,1.79
"Blanco-García OR",1,1.79
"Blekman F",1,1.79
"Blondel A",1,1.79
"Blossey B",1,1.79
"Blánquez FR",1,1.79
"Blümlein J",1,1.79
"Boafo FE",1,1.79
"Boccali T",1,1.79
"Boels R",1,1.79
"Bogacz SA",1,1.79
"Bogomyagkov A",1,1.79
"Boine-Frankenheim O",1,1.79
"Boland MJ",1,1.79
"Bolger T",1,1.79
"Bologna S",1,1.79
"Bolukbasi O",1,1.79
"Bomben M",1,1.79
"Bondarenko S",1,1.79
"Bonvini M",1,1.79
"Boos E",1,1.79
"Bordini B",1,1.79
"Bordry F",1,1.79
"Borghello G",1,1.79
"Borgonovi L",1,1.79
"Borowka S",1,1.79
"Bortoletto D",1,1.79
"Boscherini D",1,1.79
"Boscolo M",1,1.79
"Boselli S",1,1.79
"Bosley RR",1,1.79
"Bossu F",1,1.79
"Botta C",1,1.79
"Bottura L",1,1.79
"Bouchard C",1,1.79
"Boughezal R",1,1.79
"Boutin D",1,1.79
"Bouville F",1,1.79
"Bovone G",1,1.79
"Bozbey A",1,1.79
"Bozzi C",1,1.79
"Bozzini D",1,1.79
"Braccini V",1,1.79
"Bradley RL",1,1.79
"Braibant-Giacomelli S",1,1.79
"Bramante J",1,1.79
"Branea AM",1,1.79
"Braun-Munzinger P",1,1.79
"Breit J",1,1.79
"Breton C",1,1.79
"Briffa JA",1,1.79
"Briones MJI",1,1.79
"Britzger D",1,1.79
"Brodsky SJ",1,1.79
"Brogiolo GP",1,1.79
"Brooke JJ",1,1.79
"Brose U",1,1.79
"Brossard M",1,1.79
"Brown G",1,1.79
"Brown GG",1,1.79
"Bruce R",1,1.79
"Bruna E",1,1.79
"Brundisini F",1,1.79
"Brunner K",1,1.79
"Brunner O",1,1.79
"Bruzual HM",1,1.79
"Bruzzone P",1,1.79
"Brüning O",1,1.79
"Buffat X",1,1.79
"Bulyak E",1,1.79
"Buonocore DJ",1,1.79
"Burkart F",1,1.79
"Burkhardt H",1,1.79
"Burnet JP",1,1.79
"Burtis JC",1,1.79
"Butin F",1,1.79
"Buttazzo D",1,1.79
