item,count,f
"none available",14,25.00
"CITY",2,3.57
"COPRODUCTION",2,3.57
"CULTURAL HERITAGE",2,3.57
"DURABILITY",2,3.57
"SUSTAINABILITY",2,3.57
"SUSTAINABLE DEVELOPMENT",2,3.57
"URBAN GOVERNANCE",2,3.57
"ADAPTATION",1,1.79
"ADOLESCENTS",1,1.79
"AGRICULTURE",1,1.79
"AIRBORNE MICROPLASTICS",1,1.79
"ALKALI AGGREGATE REACTION",1,1.79
"ANALYTICAL TECHNIQUES",1,1.79
"APPLICATIONS",1,1.79
"ARCHITECTURE",1,1.79
"ARID REGIONS",1,1.79
"B. ADHESION",1,1.79
"BIOMIMETIC",1,1.79
"BIVO4 PHOTOANDE",1,1.79
"BUILT ENVIRONMENT",1,1.79
"BUSINESS MODEL",1,1.79
"BUYER BEHAVIOR",1,1.79
"CANADA",1,1.79
"CAPACITY BUILDING",1,1.79
"CAPITAL DURABILITY",1,1.79
"CARBON EMISSIONS",1,1.79
"CARBON FIBER",1,1.79
"CARBON PRICING",1,1.79
"CARBON REPLACEMENT VALUE",1,1.79
"CARBON TAX",1,1.79
"CARBON-BASED AEROGEL",1,1.79
"CARBONATION",1,1.79
"CARE PATHWAYS",1,1.79
"CELLULOSE AEROGEL",1,1.79
"CERAMIC",1,1.79
"CHARGE TRANSPORT",1,1.79
"CIRCULAR ECONOMY",1,1.79
"CIVIC ENTERPRISE",1,1.79
"CIVIC EXPERIMENTATION",1,1.79
"CLAY BRICK WASTE",1,1.79
"CO-PRODUCTION",1,1.79
"COLLABORATIVE GOVERNANCE",1,1.79
"COMPOSITION",1,1.79
"CONSERVATION",1,1.79
"CONSTRUCTED WETLANDS",1,1.79
"CONSTRUCTION EQUIPMENT",1,1.79
"COOLING NEEDS",1,1.79
"CORE MATERIALS",1,1.79
"CORROSION OF REINFORCEMENT",1,1.79
"COUPLING",1,1.79
"COVID-19 VACCINES",1,1.79
"CRAFTSMANSHIP",1,1.79
"CRUMB RUBBER POWDER",1,1.79
"D. CHEMICAL ANALYSIS",1,1.79
"DECENT HOUSING",1,1.79
"DECOUPLING",1,1.79
"DELIVERY OF HEALTH CARE",1,1.79
"DEVELOPERS",1,1.79
"DEVELOPING COUNTRIES",1,1.79
"DIFFUSION COEFFICIENT OF CHLORIDE ION",1,1.79
"DIFFUSION OF INNOVATION",1,1.79
"DISPLACEMENT",1,1.79
"DRYING SHRINKAGE",1,1.79
"DURABLE",1,1.79
"DURABLE GOODS",1,1.79
"EARTHQUAKES",1,1.79
"ECOLOGICAL & ENVIRONMENTAL RISK",1,1.79
"ELECTRONIC HEALTH RECORD",1,1.79
"EMISSIONS TRADING SCHEMES",1,1.79
"EMISSIONS-INTENSIVE",1,1.79
"ENERGY CONVERSION",1,1.79
"ENERGY HARVESTING",1,1.79
"ENERGY POVERTY",1,1.79
"ENERGY SAVINGS",1,1.79
"ENERGY STORAGE",1,1.79
"ENGINEERING STRUCTURES",1,1.79
"ENVIRONMENT",1,1.79
"EPOXY",1,1.79
"EPOXY RESIN",1,1.79
"EVIDENCE-BASED PRACTICE",1,1.79
"EXTRACTION PROCESS",1,1.79
"FREEZE AND THAW",1,1.79
"FUEL CELL",1,1.79
"GOVERNANCE",1,1.79
"GRANULYSIN",1,1.79
"GROUND SUPPORT EQUIPMENT",1,1.79
"HEALTH PLAN IMPLEMENTATION",1,1.79
"HEALTH POLICY",1,1.79
"HEALTHCARE CARE FUNDING",1,1.79
"HEALTHCARE MANAGEMENT",1,1.79
"HEMP",1,1.79
"HIERARCHICAL POROUS GE",1,1.79
"HIGH HUMID ENVIRONS",1,1.79
"HIGH PRESSURE MONITORING",1,1.79
"HIGH-TEMPERATURE PHASES",1,1.79
"HISTORIC BRICKS REUSE",1,1.79
"HIV",1,1.79
"HLA",1,1.79
"HOUSING INVESTMENT",1,1.79
