item,count,f
"City Univ Hong Kong",6,10.71
"Dept Phys",5,8.93
"Kowloon",5,8.93
"Quebec City",5,8.93
"Toronto",5,8.93
"Univ Laval",5,8.93
"Fac Med",4,7.14
"Tat Chee Ave",4,7.14
"Univ Toronto",4,7.14
"Dept Mat Sci & Engn",3,5.36
"Mahidol Univ",3,5.36
"Minist Educ",3,5.36
"Univ Calif Davis",3,5.36
"Univ Florida",3,5.36
"Univ Oxford",3,5.36
"Vancouver",3,5.36
"Yale Univ",3,5.36
"CNRS",2,3.57
"Cornell Univ",2,3.57
"Ctr Rech Sante Durable",2,3.57
"Dept Biol",2,3.57
"Dept Chem",2,3.57
"Dept Civil Engn",2,3.57
"Dept Mech & Aerosp Engn",2,3.57
"Dept Mech Engn",2,3.57
"Dept Med",2,3.57
"Dept Wood & Forest Sci",2,3.57
"European Commiss",2,3.57
"Fac Architecture",2,3.57
"Fac Sci",2,3.57
"Harvard Univ",2,3.57
"Huazhong Univ Sci & Technol",2,3.57
"Imperial Coll London",2,3.57
"Inst Adv Mat & Nanotechnol",2,3.57
"Kings Coll London",2,3.57
"Lawrence Berkeley Natl Lab",2,3.57
"Liverpool",2,3.57
"Manchester",2,3.57
"McGill Univ",2,3.57
"Melbourne",2,3.57
"Mem Sloan Kettering Canc Ctr",2,3.57
"Monash Univ",2,3.57
"Sch Chem & Chem Engn",2,3.57
"Sch Energy & Environm",2,3.57
"Sch Mat Sci & Engn",2,3.57
"Sch Med",2,3.57
"Sch Publ Hlth",2,3.57
"Shenzhen",2,3.57
"Shenzhen Res Inst",2,3.57
"Sherbrooke",2,3.57
"Showa Univ",2,3.57
"Siriraj Hosp",2,3.57
"South China Univ Technol",2,3.57
"State Key Lab Phys Chem Solid Surfaces",2,3.57
"State Key Lab Refractories & Met",2,3.57
"Tallinn Univ Technol",2,3.57
"Tsukuba",2,3.57
"UCL",2,3.57
"Univ British Columbia",2,3.57
"Univ Calif San Diego",2,3.57
"Univ Freiburg",2,3.57
"Univ Hong Kong",2,3.57
"Univ Iowa",2,3.57
"Univ La Laguna",2,3.57
"Univ Melbourne",2,3.57
"Univ Sherbrooke",2,3.57
"Wuhan Univ Sci & Technol",2,3.57
"Xiamen Univ",2,3.57
"Yale Sch Environm",2,3.57
"008C Ag Hall",1,1.79
"1 Jan Smuts Ave",1,1.79
"1 Nunn Dr",1,1.79
"1 Shields Ave",1,1.79
"1 West Hill Sch Rd",1,1.79
"101 E 5th St Suite 2000",1,1.79
"1050 Av Med",1,1.79
"1050 Chemin Ste Foy",1,1.79
"10th Floor",1,1.79
"1161-21st Ave South",1,1.79
"1170 Campus Delivery",1,1.79
"12 Choansan ro",1,1.79
