item,count,f
"UN, 2018, World urbanization prospects: The 2018 revision (ST/ESA/SER.A/420)",3,5.36
"Ben Charif A, 2017, IMPLEMENT SCI, 12",2,3.57
"Charmaz K, 2006, CONSTRUCTING GROUNDE",2,3.57
"Duranton G, 2014, Handbook of Regional and Urban Economics, 5",2,3.57
"Fujishima A, 1972, NATURE, 238",2,3.57
"Greenhalgh T, 2019, BMJ-BRIT MED J, 365",2,3.57
"Kleemann F, 2017, J IND ECOL, 21",2,3.57
"Marx B, 2013, J ECON PERSPECT, 27",2,3.57
"Miatto A, 2019, RESOUR CONSERV RECY, 142",2,3.57
"Pauliuk S, 2014, GLOBAL ENVIRON CHANG, 24",2,3.57
"Southall R, 2005, REV AFR POLIT ECON, 103",2,3.57
"Tanikawa H, 2015, J IND ECOL, 19",2,3.57
"Williams S, 2014, ANN ASSOC AM GEOGR, 104",2,3.57
"*CEBR, 2013, IMP PHYS EC EUR",1,1.79
"*CEREMA, 2018, RAPP ET IMP ET MAT P",1,1.79
"*CERN, 1973, ACC ENTR GOUV REP FR",1,1.79
"*CERN, 2013, JOINT SNOWM EUCARD A",1,1.79
"*CERN, 2018, DOC MAPS WORLDW LHC",1,1.79
"*CERN, 2018, OPENLAB",1,1.79
"*COSYLAB, 2018, ACC CONTR SYST PT",1,1.79
"*DESY, 2018, MICROTCA TECHN LAB",1,1.79
"*ICFA, 2018, BEAM DYN MIN MACH LE",1,1.79
"*cepc Sppc Stud GR, 2015, 2 CEPCSPPC STUD GROU",1,1.79
"*cern COUNC, 2013, CERNCOUNCILS106",1,1.79
"*cern Doc SERV, 2013, CERNCOUNCILS0106",1,1.79
"*cern Lin Coll DET, 2013, CLIC DETECTOR POWER",1,1.79
"*comm Dur Inv CONC, 2000, PROP IMPR DUR CONCR",1,1.79
"*comm Qual Impr MA, 2003, DOC COMM COMM QUAL I",1,1.79
"*cons Reg Auv RHON, 2018, NUM FEUILL ROUT STRA",1,1.79
"*d COLL, 2018, DAT PRES HIGH EN PHY",1,1.79
"*dir AR, 2015, SURF ASS SEL PLAN SE",1,1.79
"*ec ASS, 2014, MAR CUR RES THEIR LO",1,1.79
"*eu Fair CT, 1998, 950091 EU FAIR CT VT",1,1.79
"*eur COMM, 2017, HOR 2020 WORK PROGR",1,1.79
"*eur IX, 2018, INF CARR NEUTR",1,1.79
"*eur Strat For RES, 2016, PUBL ROADM 2018 GUID",1,1.79
"*eur Strat For RES, 2018, STRAT REP RES INFR R",1,1.79
"*geoc Gibb Sgi ING, 1996, LHC CIV ENG CONS SER",1,1.79
"*gouv Rep Franc CE, 1973, ACC ENTR GOUV REP FR",1,1.79
"*grand Gen Aggl FR, 2016, CHART ENG PROJ TERR",1,1.79
"*it Org STAND, 2009, U87003040 IT ORG STA",1,1.79
"*jsce Concr COMM, 1999, STAND SPEC DES CONST",1,1.79
"*jsce Concr COMM, 2002, STAND SPEC DES CONST",1,1.79
"AASHTO, 2013, AASHTO T 240",1,1.79
"Aaboud M, 2018, PHYS LETT B, 784",1,1.79
"Aad G, 2014, PHYS REV D, 90",1,1.79
"Aad G, 2015, EUR PHYS J C, 75",1,1.79
"Aaij R, 2014, PHYS REV LETT, 113",1,1.79
"Aaij R, 2016, J HIGH ENERGY PHYS",1,1.79
"Aaij R, 2018, PHYS REV LETT, 120",1,1.79
"Aalbers MB, 2013, INT J URBAN REGIONAL, 37",1,1.79
"Aalborg Portland A/S, 2017, EPD BASIS CEM EPD NO",1,1.79
"Aarons GA, 2017, IMPLEMENT SCI, 12",1,1.79
"Aashto T, 2009, Am. Assoc. State Highw. Transp. Wash., 3",1,1.79
"Abachi, 1995, Phys Rev Lett, 74",1,1.79
"Abada A, 2015, J HIGH ENERGY PHYS",1,1.79
"Abbasi S, 2017, ENVIRON EARTH SCI, 76",1,1.79
"Abbasi S, 2019, ENVIRON POLLUT, 244",1,1.79
"Abbiendi G, 2000, EUR PHYS J C, 14",1,1.79
"Abbiendi G, 2000, EUR PHYS J C, 18",1,1.79
"Abboah-Offei M, 2021, INT J NURS STUD ADV, 3",1,1.79
"Abdallah J, 2005, EUR PHYS J C, 38",1,1.79
"Abdi F, 2017, ACM IEEE INT CONF CY",1,1.79
"Abdullah M, 2023, ENERG FUEL, 37",1,1.79
"Abe F, 1995, PHYS REV LETT, 74",1,1.79
"Abelev B, 2014, J PHYS G NUCL PARTIC, 41",1,1.79
"Abowd JM, 2004, AM ECON REV, 94",1,1.79
"Abraham J, 2019, J CLIN ONCOL, 37",1,1.79
"Abramowicz H, 2017, EUR PHYS J C, 77",1,1.79
"Abreu P, 1997, Z PHYS C PART FIELDS, 73",1,1.79
"Abreu P, 1997, Z PHYS C PART FIELDS, 74",1,1.79
"Abshirini M, 2018, ADV ENG MATER, 20",1,1.79
"Aburas M, 2019, APPL ENERG, 255",1,1.79
"Acar S, 2022, ENVIRON DEV SUSTAIN, 24",1,1.79
"Accomando E, 2016, J HIGH ENERGY PHYS",1,1.79
"Acerbi F, 2020, J CLEAN PROD, 273",1,1.79
"Acerbi F, 2021, SUSTAINABILITY-BASEL, 13",1,1.79
"Acerbi F, 2022, OPER MANAGE RES, 15",1,1.79
"Achard P, 2004, PHYS LETT B, 587",1,1.79
"Ackerknecht Edwin H, 1948, BULL HISTORY MED, 22",1,1.79
"Ackroyd Peter, 2001, LONDON THE BIOGRAPHY",1,1.79
"Acquistapace G, 1997, JCAP",1,1.79
"Adanur S, 2022, J IND TEXT, 51",1,1.79
"Adejumo OA, 2015, J INT AIDS SOC, 18",1,1.79
"Aden N, 2010, LIFECYCLE ASSESSMENT",1,1.79
"Adenauer Stiftung K, 2016, LOCAL REFUGEE AID SU",1,1.79
"Adinolfi M, 2002, NUCL INSTRUM METH A, 488",1,1.79
"Adkins A, 2017, J AM PLANN ASSOC, 83",1,1.79
"Adriani O, 1993, PHYS LETT B, 316",1,1.79
"Afshinnia K, 2015, CONSTR BUILD MATER, 95",1,1.79
"Afzali HHA, 2021, INT J TECHNOL ASSESS, 37",1,1.79
"Agarwal S, 2023, REV ECON STUD, 90",1,1.79
"Aghababyan A, 2015, P IBIC 12 TSUK JAP",1,1.79
"Aghion P, 2016, J POLIT ECON, 124",1,1.79
"Agostinelli S, 2003, NUCL INSTRUM METH A, 506",1,1.79
"Agrios AG, 2005, J APPL ELECTROCHEM, 35",1,1.79
"Aguia C, 2011, J ENVIRON MANAGE, 92",1,1.79
"Agwu AL, 2013, J INT AIDS SOC, 16",1,1.79
"Ahlfeldt GM, 2014, 14GA1 LINC LAND I 14GA1 LINC LAND I",1,1.79
"Ahlfeldt GM, 2015, ECONOMETRICA, 83",1,1.79
"Ahlfeldt GM, 2018, REV ECON STAT, 100",1,1.79
"Ahmad M, 2015, Int J. Innov. Res Sci. Eng. Technol., 4",1,1.79
"Ahmad M, 2019, AIMS MATER SCI, 6",1,1.79
"Ahmad M, 2022, J POWER SOURCES, 534",1,1.79
"Ahmad MR, 2018, ENERG BUILDINGS, 173",1,1.79
"Ahmad P, 2014, CHANGING SPACE",1,1.79
"Ahmed K, 2017, NERO D1 1 DAT COLL T",1,1.79
"Ahn HJ, 2023, ACS ENERGY LETT, 8",1,1.79
"Aiba M, 2008, NUCL INSTRUM METH B",1,1.79
"Aiba M, 2018, NUCL INSTRUM METH A, 880",1,1.79
"Aicheler M, 2012, A Multi-TeV Linear Collider Based on CLIC Technology: CLIC Conceptual Design Report",1,1.79
"Aicheler M, 2012, CERN YELLOW REPORTS",1,1.79
"Aihara M, 2015, J DERMATOL, 42",1,1.79
"Ainali NM, 2021, SCI TOTAL ENVIRON, 794",1,1.79
"Aizenberg J, 2005, SCIENCE, 309",1,1.79
"Aizer A, 2015, Q J ECON, 130",1,1.79
"Akchurin N, 2014, NUCL INSTRUM METH A, 735",1,1.79
"Akdogan Z, 2019, ENVIRON POLLUT, 254",1,1.79
"Akemoto M, 2013, PROG THEOR EXP PHYS, 2013",1,1.79
"Akers R, 1995, Z PHYS C PART FIELDS, 67",1,1.79
"Akhmedov E, 1996, PHYS LETT B, 368",1,1.79
"Akhmedov E, 1996, PHYS REV D, 53",1,1.79
"Akhmedov E, 2013, J HIGH ENERGY PHYS",1,1.79
"Akindoyo JO, 2016, RSC ADV, 6",1,1.79
"Akpinar-Ferrand E, 2010, ENVIRON SCI POLICY, 13",1,1.79
"Al-Homoud MS, 2001, BUILD ENVIRON, 36",1,1.79
"Al-Khattat IM, 1989, Farm Buildings and Engineering, 6",1,1.79
