item,count,f
"NATURE",13,23.21
"NAT COMMUN",11,19.64
"ADV FUNCT MATER",10,17.86
"P NATL ACAD SCI USA",10,17.86
"SCIENCE",10,17.86
"CHEM ENG J",9,16.07
"ACS APPL MATER INTER",8,14.29
"ACS NANO",8,14.29
"ADV MATER",8,14.29
"J CLEAN PROD",8,14.29
"J MATER CHEM A",8,14.29
"ADV SCI",7,12.50
"CONSTR BUILD MATER",7,12.50
"NANO ENERGY",6,10.71
"ADV ENERGY MATER",5,8.93
"CHEM MATER",5,8.93
"ENERG BUILDINGS",5,8.93
"ENERG ENVIRON SCI",5,8.93
"J ALLOY COMPD",5,8.93
"J AM CHEM SOC",5,8.93
"JOULE",5,8.93
"LANDSCAPE URBAN PLAN",5,8.93
"NANO LETT",5,8.93
"PLOS ONE",5,8.93
"SCI REP-UK",5,8.93
"SCI TOTAL ENVIRON",5,8.93
"AM ECON REV",4,7.14
"ANN ASSOC AM GEOGR",4,7.14
"APPL ENERG",4,7.14
"APPL SURF SCI",4,7.14
"BUILD ENVIRON",4,7.14
"CHEM SOC REV",4,7.14
"COMPOS PART A-APPL S",4,7.14
"ENERG POLICY",4,7.14
"ENVIRON SCI POLICY",4,7.14
"ENVIRON SCI TECHNOL",4,7.14
"INT J URBAN REGIONAL",4,7.14
"LANCET",4,7.14
"MATER DESIGN",4,7.14
"NAT CLIM CHANGE",4,7.14
"NAT ENERGY",4,7.14
"NAT MATER",4,7.14
"RSC ADV",4,7.14
"ACS ENERGY LETT",3,5.36
"ACS SUSTAIN CHEM ENG",3,5.36
"ADV MATER INTERFACES",3,5.36
"AM J PUBLIC HEALTH",3,5.36
"ANGEW CHEM INT EDIT",3,5.36
"ANNU REV ENV RESOUR",3,5.36
"APPL CATAL B-ENVIRON",3,5.36
"BMC HEALTH SERV RES",3,5.36
"BMC PUBLIC HEALTH",3,5.36
"BMJ-BRIT MED J",3,5.36
"CERAM INT",3,5.36
"CHEM REV",3,5.36
"COMPOS PART B-ENG",3,5.36
"ENERGY",3,5.36
"ENERGY STORAGE MATER",3,5.36
"ENVIRON SCI POLLUT R",3,5.36
"ENVIRON URBAN",3,5.36
"GLOBAL ENVIRON CHANG",3,5.36
"J AM PLANN ASSOC",3,5.36
"J APPL PHYS",3,5.36
"J COLLOID INTERF SCI",3,5.36
"J ECON PERSPECT",3,5.36
"J HAZARD MATER",3,5.36
"J IND ECOL",3,5.36
"J MATER CHEM C",3,5.36
"J MATER CIVIL ENG",3,5.36
"J MATER SCI",3,5.36
"J PHYS CHEM C",3,5.36
"J POLIT ECON",3,5.36
"J SOLID STATE CHEM",3,5.36
"JAMA-J AM MED ASSOC",3,5.36
"LOCAL ENVIRON",3,5.36
"MACROMOL MATER ENG",3,5.36
"NANOSCALE",3,5.36
"NEW ENGL J MED",3,5.36
"PHYS REV LETT",3,5.36
"POLYMERS-BASEL",3,5.36
"RESOUR CONSERV RECY",3,5.36
"REV ECON STAT",3,5.36
"SCI ADV",3,5.36
"SMALL",3,5.36
"SOL ENERG MAT SOL C",3,5.36
"SUSTAINABILITY-BASEL",3,5.36
"THESIS",3,5.36
"URBAN STUD",3,5.36
"World urbanization prospects: The 2018 revision (ST/ESA/SER.A/420)",3,5.36
"ACCOUNTS CHEM RES",2,3.57
"ACS CATAL",2,3.57
"ADV OPT MATER",2,3.57
"AIDS",2,3.57
"AM ECON J-ECON POLIC",2,3.57
"ANNU REV MED",2,3.57
"APPL CATAL A-GEN",2,3.57
