1	We gratefully acknowledge the support of an Africa Research Program on Spatial Development of Cities at LSE and Oxford funded by the Multi Donor Trust Fund on Sustainable Urbanization of the World Bank and supported by the UK Department for International Development. We acknowledge the excellent research assistance of Patricia Freitag, Piero Montebruno, and Ilia Samsonov. Thanks to referees, the editor, and to seminar participants at LSE, CURE, Berkeley, Pennsylvania, Lausanne, Oxford, Helsinki, Luxembourg, Bristol, USC, Melbourne, Monash, NBER, and RIETI Tokyo for helpful comments.
3	This paper is based on the first author's dissertation, which won the 2007 CAPES Thesis Award in Management. The first author would like to acknowledge financial support for this research from CAPES and Unisinos, and thank Leonardo Heidrich for the research assistant support. We gratefully acknowledge the contributions of the anonymous EJOR reviewers, the participants at the 2005 Marketing Science Conference, and the participants at the 2005 Marketing Dynamics Conference.
4	This work is part of the research project GOVLAND, funded by the Research Council of Norway. The authors would also like to recognise funding from the Bergen Research Foundation.
6	This research received no external funding, but the article processing charge for open access was paid for by the MBS College of Business and Entrepreneurship, Saudi Arabia.
9	Leeds City Lab acknowledges the funding support of the N8 and the UK Economic and Social Research Council. The authors thank the IJURR reviewers for their insightful and helpful comments at review stage.
10	K.Z. thanks the German Research Foundation (DFG) and Lower Saxony Ministry of Science and Culture for the project INST186/1281-1/FUGG. C.C. thanks the support of the National Natural Science Foundation of China (Grant No. 31770608) , Jiangsu Specially appointed Professorship Program (Sujiaoshi [2016] 20) , Start-up Funds for Scientific Research at the Nanjing Forestry University (163020337) , Science and Technology Innovation Project for Overseas Students Nanjing City (Ningrenshehan [2018] 214) and Jiangsu Government Scholarship for Overseas Studies (JS-2020-195) . W.C, B.S, and C.D. thank China Scholarship Council for financially supporting their PhD study.
11	"This work was partially supported by the strategic grant POSDRU 107/1.5/S/77265, inside POSDRU Romania 2007-2013 co-financed by the European Social Fund - Investing in People".
13	Nothing to declare.
15	We acknowledge the Key Program of National Natural Science Foundation of China (51933004) , National Natural Science Foundation of China (52103027) , Introduced Innovative Scientific Research Team of Dong Guan City (2020607105006) .
16	This work was supported by The European Union's Horizon 2020 Research and Innovation Programme, under the Marie Sklodowska-Curie Individual Fellowship [grant agreement No 836122] and by the Research Group of the Junta de Andalucia, Spain (RNM179).
17	We are grateful to the editor, Larry Katz, and coeditor, Stefanie Stantcheva, and the anonymous referees for their helpful comments. Part of this research was conducted as a part of the U.S. Census Bureau's Evidence Building Project Series. Any views expressed are those of the authors and not those of the U.S. Census Bureau. The Census Bureau's Disclosure Review Board and Disclosure Avoidance Officers have reviewed this information product for unauthorized. disclosure of confidential information and have approved the disclosure avoidance practices applied to this release. This research was performed at a Federal Statistical Research Data Center under FSRDC Project no. 2476 (CBDRB-FY23-P2476-R10555). This research uses data from the Census Bureau's Longitudinal Employer Household Dynamics Program, which was partially supported by the following National Science Foundation Grants SES-9978093, SES-0339191, and ITR-427889; National Institute on Aging Grant AG018854; and grants from the Alfred P. Sloan Foundation. This publication was produced from raw data provided by the New York State Department of Health (NYSDOH). However, the conclusions derived, and views expressed herein are those of the author(s) and do not reflect the conclusions or views of NYSDOH. The U.S. Census Bureau has not reviewed the article for accuracy or reliability and does not endorse its contents. Any conclusions expressed herein are those of the authors and do not necessarily represent the views of the U.S. Census Bureau. All results were approved for release by the U.S. Census Bureau, authorization numbers CBDRB-FY20-110, CBDRB-FY20-206, and CBDRB-FY22-072. The NYC portion of this research was conducted at the Center for Innovation through Data Intelligence (CIDI). The views expressed here are not those of CIDI, the Office of Court Administration, the New York City HRA, the Federal Reserve Bank of Philadelphia, or the Federal Reserve System. The authors gratefully acknowledge financial support from the NSF (SES-1757112, SES-1757186, SES-1757187), the Laura and John Arnold Foundation, the Spencer Foundation, the Kreisman Initiative on Housing Law and Policy, the Horowitz Foundation for Social Policy, the Becker Friedman Institute, and the Tobin Center for Economic Policy. We thank Lawrence Wood and others at the Legal Assistance Foundation in Chicago; Melissa C. Chiu and Kathryn McNamara at the U.S. Census Bureau; Lydia Stazen Michael at All Chicago; Carmelo Barbaro, Ruth Coffman, and Emily Metz at UChicago Urban Labs; Eileen Johns and Maryanne Schretzman at CIDI; Joe Altonji, Raj Chetty, Eric Chyn, Kevin Corinth, Ingrid Gould Ellen, Angela Denis Pagliero, Michael Dinerstein, Rashmi Dyal-Chand, Bill Evans, Alex Frankel, Peter Ganong, Pieter Gautier, Matt Gentzkow, Michael Greenstone, Daniel Grossman, Jim Heckman, Tatiana Homonoff, Ali Hortacsu, Peter Hull, Louis Kaplow, Ezra Karger, Paymon Khorrami, Thibaut Lamadon, Kevin Lang, Jeff Lin, Maarten Lindeboom, Hamish Low, Jens Ludwig, Sarah Miller, Magne Mogstad, Derek Neal, Matt Notowidigdo, Dan O'Flaherty, Ed Olsen, Katherine O'Regan, Francisca Richter, Azeem Shaikh, Beth Shinn, Jeff Smith, Jim Sullivan, Nicole Summers, Chris Taber, Alex Torgovitsky, Basvander Klaauw, Laura Wherry, and many seminar participants. Isabel Almazan, Iliana Cabral, Ella Deeken, Deniz Dutz, Katherine Kwok, and Naomi Shimberg provided excellent research assistance. Any errors are our own. This article subsumes and replaces Collinson and Reed (2019) and Humphries et al. (2019).
18	C.Y.T. acknowledges financial support from the Hong Kong Research Grant Council via General Research Fund (GRF) account of 11200121 and Innovation and Technology Commission via Innovation and Technology Fund (ITF) account of ITS/041/21.
19	Open access funding provided by International Institute for Applied Systems Analysis (IIASA). This work received funding from the European Union's Horizon 2020 research and innovation program under grant agreements no. 821124 (NAVIGATE) and from the SHAPE project, which is part of AXIS, an ERA-NET initiated by JPI Climate, and funded by FORMAS (SE), FFG/BMWFW (AT, Grant No. 871994), DLR/BMBF (DE, Grant No. 01LS1907A-B-C), NWO (NL), and RCN (NO) with co-funding by the European Union (Grant No. 776608).
20	This study was supported by the ISOBIO project funded by the Horizon 2020 programme [grant number 636835 - ISOBIO - H2020-EeB-2014-2015] and the Canadian Queen Elizabeth II Diamond Jubilee Scholarship. The authors would also like to acknowledge the EPSRC Centre for Decarbonisation of the Built Environment (dCarb) [grant number EP/L016869/1]. The contents of this publication are the sole responsibility of the authors and cannot be taken to reflect the views of the European Union. All data are provided in full in the results section of this paper.
22	This research work present in this paper was supported by NSFC (Project Nos. 51608131, 51678161 and 51808134), Featured and Innovative Project for Colleges and Universities of Guangdong Province (Project No. 2017KTSCX061) and Pearl River S&T Nova Program of Guangzhou City (Project No. 201906010064).
23	U-CERT Consortium would like to acknowledge the financial support of the European Commission under the H2020 programme. This project has received funding from the European Union's Horizon 2020 research and innovation programme under grant agreement number 839937.
25	This work was supported by the Fund for Innovative Research Group of the National Natural Science Foundation of China (no. 51721093), and by the National Key Research and Development Program of China (no. 2016YFC0503005).
26	This research was supported by the AECID (Agencia Espanola de Cooperacion Internacional al Desarrollo) program "Acciones de Innovacion" through the project "Tecnologias naturales para la gestion sostenible de las aguas residuales en areas rurales y periurbanas en Senegal" (2016/ACDE/003193, 2017-2019), by the Barcelona City Hall program "Cooperacio per a la Justicia Global de l'Ajuntament de Barcelona" through the project "Contribucio a la gestio durable dels Recursos Hidrics de Saint Louis" (16S06191-001, 2016-2019) and the Agencia de Gestio d'Ajuts Universitaris i de Recerca, Generalitat de Catalunya through the "Grup consolidat de recerca Hidrologia Sanitaria, economica i de la cooperacio" (2017SGR1326, 2017-2019).
28	This work was financially supported by Independent Research Fund Denmark (CityWeight, 6111-00555B), the Natural Science Foundation of China (71991484), and the EngineeringPhysical Sciences Research Council (EP/S029273/1).
