item,count,f
"none available",16,28.57
"PERFORMANCE",6,10.71
"CITIES",3,5.36
"CLIMATE-CHANGE",3,5.36
"COATINGS",2,3.57
"CONSTRUCTION",2,3.57
"DEGRADATION",2,3.57
"IMPACT",2,3.57
"IMPLEMENTATION",2,3.57
"INNOVATION",2,3.57
"MECHANICAL-PROPERTIES",2,3.57
"METABOLISM",2,3.57
"NANOPARTICLES",2,3.57
"STATE",2,3.57
"STRATEGIES",2,3.57
"ABATEMENT",1,1.79
"ABSORPTION",1,1.79
"ACUTE OCULAR MANIFESTATIONS",1,1.79
"ADDING LIMESTONE FINES",1,1.79
"ADULT CARE",1,1.79
"AFRICA",1,1.79
"AIDS",1,1.79
"ANCIENT",1,1.79
"ANTIRETROVIRAL TREATMENT",1,1.79
"BEHAVIOR",1,1.79
"BHABHA SCATTERING",1,1.79
"BIODIVERSITY CHANGE",1,1.79
"BISMUTH VANADATE PHOTOANODES",1,1.79
"BUILDING STOCK",1,1.79
"BUILDING-MATERIALS",1,1.79
"BUILDINGS",1,1.79
"CAP-AND-TRADE",1,1.79
"CARBON",1,1.79
"CARBON EMISSIONS",1,1.79
"CARBONATE",1,1.79
"CARE",1,1.79
"CATALYSTS",1,1.79
"CELLULOSE FIBER",1,1.79
"CHILDREN",1,1.79
"CHLORIDE RESISTANCE",1,1.79
"CITY",1,1.79
"CLAY",1,1.79
"COBALT TELLURIDE",1,1.79
"COMMONS",1,1.79
"COMMUNITIES",1,1.79
"COMPETITION",1,1.79
"COMPOSITE",1,1.79
"COMPRESSIVE STRENGTH",1,1.79
"CONDUCTIVITY",1,1.79
"CONSUMER BANKRUPTCY",1,1.79
"CONSUMERS",1,1.79
"CONSUMPTION",1,1.79
"CONTROLLABLE SYNTHESIS",1,1.79
"CORE MATERIAL",1,1.79
"COSTS",1,1.79
"CUTANEOUS ADVERSE-REACTIONS",1,1.79
"DELIVERY",1,1.79
"DEMAND",1,1.79
"DEPOSITION",1,1.79
"DESIGN",1,1.79
"DIMENSIONAL STABILITY",1,1.79
"DISABILITY INSURANCE RECEIPT",1,1.79
"DISEASE SEVERITY",1,1.79
"DOSE INTRAVENOUS IMMUNOGLOBULINS",1,1.79
"DOUBLE-BETA DECAY",1,1.79
"DRUG-REACTIONS",1,1.79
"DRYING CONDITION",1,1.79
"DYNAMICS",1,1.79
"E(+)E(-) COLLISIONS",1,1.79
"E-GLYCOPROTEIN",1,1.79
"EARNINGS",1,1.79
"ECONOMICS",1,1.79
"ECONOMY",1,1.79
"EFFICACY",1,1.79
"EFFICIENCY",1,1.79
"ELECTROCHEMICAL DEPOSITION",1,1.79
"ELECTRODE MATERIAL",1,1.79
"ELECTROWEAK MEASUREMENTS",1,1.79
"ENGAGEMENT",1,1.79
"ENVIRONMENT",1,1.79
"ENVIRONMENTAL-POLICY",1,1.79
"EPIDEMIOLOGY",1,1.79
"EPOXY COMPOSITES",1,1.79
"ERYTHEMA MULTIFORME",1,1.79
"EU ETS",1,1.79
"EVENTS",1,1.79
"EVOLUTION",1,1.79
"FLAVOR VIOLATION",1,1.79
"FOOTPRINT",1,1.79
"FRAMEWORK",1,1.79
"FRESH-WATER",1,1.79
"GE",1,1.79
"GENOME-WIDE ASSOCIATION",1,1.79
"GHG EMISSIONS",1,1.79
"GIS",1,1.79
"GOVERNANCE",1,1.79
"GRANITE DUST",1,1.79
"GREEN",1,1.79
