Sites,latitude,longitude,raw_data
Aix Marseilles,,,
Angers,47.4739884,-0.5515588,"{'place_id': 266280836, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 178351, 'lat': '47.4739884', 'lon': '-0.5515588', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6548475958239229, 'addresstype': 'city', 'name': 'Angers', 'display_name': 'Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France', 'boundingbox': ['47.4373546', '47.5262993', '-0.6176931', '-0.5082737']}"
Avignon,43.9492493,4.8059012,"{'place_id': 75318801, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 102478, 'lat': '43.9492493', 'lon': '4.8059012', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6651388421765945, 'addresstype': 'city', 'name': 'Avignon', 'display_name': ""Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France"", 'boundingbox': ['43.8873819', '43.9967419', '4.7396309', '4.9271468']}"
Bordeaux,44.841225,-0.5800364,"{'place_id': 397831727, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 105270, 'lat': '44.8412250', 'lon': '-0.5800364', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.7196150314349161, 'addresstype': 'city', 'name': 'Bordeaux', 'display_name': 'Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France', 'boundingbox': ['44.8107826', '44.9161806', '-0.6386987', '-0.5336838']}"
Chambery - Savoire Montblanc,,,
Clermont-Ferrand,45.7774551,3.0819427,"{'place_id': 78048600, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 110866, 'lat': '45.7774551', 'lon': '3.0819427', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6548877464881563, 'addresstype': 'city', 'name': 'Clermont-Ferrand', 'display_name': 'Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, France', 'boundingbox': ['45.7556941', '45.8183838', '3.0532561', '3.1721761']}"
Dijon - bourgogne France comté,47.279299,5.0451562,"{'place_id': 85471022, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1196414956, 'lat': '47.2792990', 'lon': '5.0451562', 'class': 'landuse', 'type': 'industrial', 'place_rank': 22, 'importance': 0.10673223544670785, 'addresstype': 'industrial', 'name': 'Eurovia Bourgogne Franche-Comté - Agence de Dijon', 'display_name': ""Eurovia Bourgogne Franche-Comté - Agence de Dijon, Longvic, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21600, France"", 'boundingbox': ['47.2785769', '47.2800566', '5.0440522', '5.0462132']}"
Grenoble,45.1875602,5.7357819,"{'place_id': 81069851, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 80348, 'lat': '45.1875602', 'lon': '5.7357819', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6845788090893128, 'addresstype': 'city', 'name': 'Grenoble', 'display_name': 'Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France', 'boundingbox': ['45.1541442', '45.2140762', '5.6776059', '5.7531315']}"
La Rochelle,46.159732,-1.1515951,"{'place_id': 266833066, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 117858, 'lat': '46.1597320', 'lon': '-1.1515951', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6409735277294301, 'addresstype': 'town', 'name': 'La Rochelle', 'display_name': 'La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France', 'boundingbox': ['46.1331804', '46.1908971', '-1.2419231', '-1.1110970']}"
Lille - Littoral Côte d'Opale,,,
Lyon Saint-Etienne,45.7607136,4.8274238,"{'place_id': 82182017, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 136200148, 'lat': '45.7607136', 'lon': '4.8274238', 'class': 'amenity', 'type': 'place_of_worship', 'place_rank': 30, 'importance': 0.46451404275307395, 'addresstype': 'amenity', 'name': 'Cathédrale Saint-Jean', 'display_name': 'Cathédrale Saint-Jean, Place Saint-Jean, Saint-Jean, conseil de quartier Quartiers anciens, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France', 'boundingbox': ['45.7603979', '45.7610321', '4.8268675', '4.8279990']}"
Montpellier,43.6112422,3.8767337,"{'place_id': 77557597, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 28722, 'lat': '43.6112422', 'lon': '3.8767337', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6880007745884422, 'addresstype': 'city', 'name': 'Montpellier', 'display_name': 'Montpellier, Hérault, Occitanie, France métropolitaine, France', 'boundingbox': ['43.5667083', '43.6533580', '3.8070597', '3.9413208']}"
Nantes,47.2186371,-1.5541362,"{'place_id': 266569890, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 59874, 'lat': '47.2186371', 'lon': '-1.5541362', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6882405276556287, 'addresstype': 'city', 'name': 'Nantes', 'display_name': 'Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France', 'boundingbox': ['47.1805856', '47.2958583', '-1.6418115', '-1.4788443']}"
